127.0.0.1 - - [25/May/2020:12:50:44 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/May/2020:12:50:51 +0530] "GET /Servlet/ HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [25/May/2020:12:50:51 +0530] "GET /Servlet/css/style.css HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [25/May/2020:12:50:51 +0530] "GET /Servlet/image/bg.jpg HTTP/1.1" 200 71345
0:0:0:0:0:0:0:1 - - [25/May/2020:12:50:55 +0530] "GET /Servlet/new HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - - [25/May/2020:12:51:01 +0530] "GET /Servlet/service HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/May/2020:12:51:09 +0530] "GET /Servlet/edit?id=12&actionEdit=edit HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [25/May/2020:12:51:12 +0530] "GET /Servlet/service HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/May/2020:12:51:14 +0530] "GET /Servlet/delete?id=12&actiondelete=yes HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [25/May/2020:12:51:16 +0530] "GET /Servlet/service HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [25/May/2020:12:55:51 +0530] "GET /Servlet/service HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [25/May/2020:12:57:52 +0530] "GET /Servlet/service HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [25/May/2020:12:57:53 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:12:58:47 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:02:21 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:02:44 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:03:09 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:03:33 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:03:39 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:05:48 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:05:56 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:06:01 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:06:21 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:06:36 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:09:03 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:09:56 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:10:46 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:12:26 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:14:22 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:16:02 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:16:20 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:19:22 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:20:00 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:22:21 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:23:51 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:24:01 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:13:25:11 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
